Symbol,TradeDate,DrasticChangeTime,DrasticChangePct,VolatilityPct,Action
ADANIENT,2024-06-04,2024-06-04T12:26:00+05:30,12.386840,22.330966,buy
ADANIENT,2024-06-05,2024-06-05T10:40:00+05:30,8.347213,13.201320,buy
SBIN,2024-06-04,2024-06-04T12:26:00+05:30,8.306233,18.400223,buy
ADANIENT,2024-11-22,2024-11-22T10:48:00+05:30,7.459868,12.598762,buy
ADANIENT,2023-08-18,2023-08-18T11:05:00+05:30,7.143718,8.260343,buy
TATAMOTORS,2024-06-04,2024-06-04T12:28:00+05:30,6.616787,9.767932,buy
ITC,2025-02-01,2025-02-01T11:59:00+05:30,6.349926,7.131696,buy
MARUTI,2025-02-01,2025-02-01T11:56:00+05:30,6.347704,7.478490,buy
ADANIENT,2023-11-28,2023-11-28T10:33:00+05:30,6.255022,10.317253,buy
ADANIENT,2024-11-21,2024-11-21T10:49:00+05:30,6.117376,15.133794,buy
HINDUNILVR,2025-02-01,2025-02-01T12:10:00+05:30,6.069406,6.741414,buy
MARUTI,2024-06-04,2024-06-04T12:29:00+05:30,5.941879,8.222457,buy
BHARTIARTL,2024-06-04,2024-06-04T12:39:00+05:30,5.697901,12.792035,buy
SUNPHARMA,2024-06-04,2024-06-04T12:29:00+05:30,5.461257,6.780241,buy
ADANIENT,2024-11-27,2024-11-27T10:36:00+05:30,5.173388,12.653670,buy
TATAMOTORS,2023-12-29,2023-12-29T10:15:00+05:30,4.940531,6.476821,buy
WIPRO,2023-12-22,2023-12-22T13:19:00+05:30,4.786245,7.427366,buy
RELIANCE,2024-06-04,2024-06-04T12:29:00+05:30,4.756124,9.262041,buy
ADANIENT,2024-05-23,2024-05-23T12:14:00+05:30,4.446918,8.567491,buy
ADANIENT,2023-10-04,2023-10-04T10:29:00+05:30,4.352993,4.599950,buy
ADANIENT,2024-01-03,2024-01-03T10:38:00+05:30,-7.498437,7.988185,sell
HCLTECH,2024-06-04,2024-06-04T11:52:00+05:30,-6.329402,6.792453,sell
HINDUNILVR,2025-04-24,2025-04-24T10:25:00+05:30,-6.418620,7.026157,sell
ICICIBANK,2024-06-04,2024-06-04T11:23:00+05:30,-5.915656,9.141549,sell
ADANIENT,2025-01-30,2025-01-30T13:22:00+05:30,-5.446193,6.460215,sell
MARUTI,2024-10-29,2024-10-29T13:17:00+05:30,-5.322834,6.467686,sell
WIPRO,2024-06-04,2024-06-04T11:50:00+05:30,-5.281445,6.473010,sell
ADANIENT,2023-12-06,2023-12-06T12:24:00+05:30,-4.938767,10.055195,sell
ADANIENT,2023-12-20,2023-12-20T12:37:00+05:30,-4.710065,6.849966,sell
MARUTI,2023-12-15,2023-12-15T13:20:00+05:30,-4.560103,6.158811,sell
KOTAKBANK,2024-06-04,2024-06-04T10:42:00+05:30,-4.471072,6.637311,sell
ADANIENT,2024-07-23,2024-07-23T11:49:00+05:30,-4.398589,5.021523,sell
BAJFINANCE,2024-06-04,2024-06-04T11:41:00+05:30,-4.279279,7.809111,sell
BAJFINANCE,2023-11-15,2023-11-15T13:22:00+05:30,-4.107744,4.771505,sell
ASIANPAINT,2024-06-04,2024-06-04T11:48:00+05:30,-4.029665,4.210069,sell
HDFCBANK,2024-06-04,2024-06-04T11:40:00+05:30,-4.004225,6.743738,sell
ASIANPAINT,2024-05-09,2024-05-09T13:43:00+05:30,-3.976861,5.309406,sell
ADANIENT,2025-02-01,2025-02-01T11:35:00+05:30,-4.297640,4.958642,sell
ITC,2024-06-04,2024-06-04T11:50:00+05:30,-3.783485,5.509567,sell
TATAMOTORS,2024-07-23,2024-07-23T11:40:00+05:30,-3.746828,4.112511,sell
HDFCBANK,2024-03-02,2024-03-02T12:20:00+05:30,0.000000,0.550523,hold
RELIANCE,2023-11-08,2023-11-08T12:12:00+05:30,0.000000,0.823328,hold
LTIM,2024-04-23,2024-04-23T13:20:00+05:30,0.000000,1.307664,hold
TCS,2023-11-06,2023-11-06T11:10:00+05:30,0.000000,0.986667,hold
SUNPHARMA,2025-07-01,2025-07-01T10:36:00+05:30,0.000000,1.599332,hold
SBIN,2025-06-11,2025-06-11T12:10:00+05:30,0.000000,0.924113,hold
BAJFINANCE,2023-12-06,2023-12-06T10:42:00+05:30,0.000000,1.285521,hold
TCS,2025-07-01,2025-07-01T12:29:00+05:30,0.000000,2.069465,hold
HINDUNILVR,2024-01-09,2024-01-09T12:38:00+05:30,0.000000,0.675689,hold
BAJFINANCE,2023-08-16,2023-08-16T13:38:00+05:30,0.000000,1.072194,hold
